accrual	n	dồn tích	Tài chính
allocation	n	phân bổ	Tài chính
amortization	n	khấu hao dần	Tài chính
appraisal	n	đánh giá	Nhân sự
asset management	n	quản lý tài sản	Tài chính
benchmark	n	mốc so sánh	Kinh doanh
billing	n	việc lập hóa đơn	Tài chính
bond	n	trái phiếu	Tài chính
borrow	v	vay	Tài chính
capital	n	vốn	Tài chính
cash flow	n	dòng tiền	Tài chính
collateral	n	tài sản thế chấp	Tài chính
commission	n	tiền hoa hồng	Tài chính
compensation	n	khoản bồi thường; tiền lương	Nhân sự
creditor	n	chủ nợ	Tài chính
currency	n	tiền tệ	Tài chính
debit	n	khoản ghi nợ	Tài chính
depreciation	n	khấu hao	Tài chính
disbursement	n	khoản chi trả	Tài chính
earnings report	n	báo cáo thu nhập	Tài chính
equity	n	vốn chủ sở hữu	Tài chính
expenditure	n	chi tiêu	Tài chính
fiscal	n	thuộc tài chính	Tài chính
forecast	n	dự báo	Tài chính
installment	n	khoản trả góp	Tài chính
interest rate	n	lãi suất	Tài chính
levy	n	khoản thu; thuế	Tài chính
liquidity	n	tính thanh khoản	Tài chính
loan	n	khoản vay	Tài chính
margin	n	biên lợi nhuận	Tài chính
mortgage	n	khoản thế chấp	Tài chính
payroll	n	bảng lương	Tài chính
portfolio	n	danh mục đầu tư	Tài chính
premium	n	phí bảo hiểm	Tài chính
principal	n	khoản tiền gốc	Tài chính
procurement	n	mua sắm	Tài chính
reimbursement	n	khoản hoàn trả	Tài chính
reserve	n	khoản dự phòng	Tài chính
return on investment	n	lợi nhuận đầu tư	Tài chính
securities	n	chứng khoán	Tài chính
subsidy	n	trợ cấp	Tài chính
tariff	n	thuế quan	Tài chính
valuation	n	việc định giá	Tài chính
withholding	n	khoản khấu trừ	Tài chính
absenteeism	n	sự vắng mặt	Nhân sự
affiliation	n	sự liên kết	Nhân sự
apprenticeship	n	chương trình học việc	Nhân sự
aptitude	n	năng khiếu	Nhân sự
bonus	n	thưởng	Nhân sự
career path	n	lộ trình nghề nghiệp	Nhân sự
consultant	n	chuyên gia tư vấn	Nhân sự
delegation	n	sự ủy quyền	Nhân sự
disciplinary	adj	thuộc kỷ luật	Nhân sự
diversity	n	sự đa dạng	Nhân sự
eligibility	n	tính đủ điều kiện	Nhân sự
employment contract	n	hợp đồng lao động	Nhân sự
freelance	adj	làm việc tự do	Nhân sự
headcount	n	tổng số nhân viên	Nhân sự
incentive	n	khoản khích lệ	Nhân sự
internship	n	kỳ thực tập	Nhân sự
job description	n	mô tả công việc	Nhân sự
labor union	n	công đoàn	Nhân sự
layoff	n	việc cắt giảm nhân sự	Nhân sự
leadership	n	khả năng lãnh đạo	Nhân sự
mentorship	n	việc cố vấn	Nhân sự
onboarding	n	quy trình hội nhập nhân viên mới	Nhân sự
orientation	n	buổi định hướng	Nhân sự
outsource	v	thuê ngoài	Nhân sự
performance review	n	đánh giá hiệu suất	Nhân sự
probation	n	thời gian thử việc	Nhân sự
professional development	n	phát triển chuyên môn	Nhân sự
promotion opportunity	n	cơ hội thăng tiến	Nhân sự
qualification	n	trình độ chuyên môn	Nhân sự
recruitment	n	tuyển dụng	Nhân sự
relocation	n	việc chuyển địa điểm	Nhân sự
retention	n	giữ chân nhân sự	Nhân sự
severance	n	trợ cấp thôi việc	Nhân sự
shift	n	ca làm việc	Nhân sự
staffing	n	việc bố trí nhân sự	Nhân sự
succession	n	kế nhiệm	Nhân sự
telecommute	v	làm việc từ xa	Nhân sự
vacancy	n	vị trí còn trống	Nhân sự
workforce	n	lực lượng lao động	Nhân sự
affiliate	n	đơn vị liên kết	Tiếp thị
awareness	n	sự nhận biết	Tiếp thị
brochure	n	tờ giới thiệu	Tiếp thị
catalog	n	ca-ta-lô	Tiếp thị
channel	n	kênh phân phối	Tiếp thị
consumer behavior	n	hành vi người tiêu dùng	Tiếp thị
coupon	n	phiếu giảm giá	Tiếp thị
demographic	n	nhân khẩu học	Tiếp thị
endorsement	n	sự chứng thực	Tiếp thị
exposure	n	mức độ tiếp cận	Tiếp thị
feedback	n	phản hồi	Tiếp thị
market research	n	nghiên cứu thị trường	Tiếp thị
merchandise	n	hàng hóa	Tiếp thị
niche	n	thị trường ngách	Tiếp thị
outreach	n	hoạt động tiếp cận	Tiếp thị
placement	n	việc đặt quảng cáo	Tiếp thị
positioning	n	định vị thương hiệu	Tiếp thị
promotion code	n	mã khuyến mãi	Tiếp thị
publicity	n	sự quảng bá	Tiếp thị
retailer	n	nhà bán lẻ	Tiếp thị
sales pitch	n	bài chào bán	Tiếp thị
segmentation	n	phân khúc	Tiếp thị
sponsorship	n	tài trợ	Tiếp thị
survey response	n	phản hồi khảo sát	Tiếp thị
target market	n	thị trường mục tiêu	Tiếp thị
trademark	n	nhãn hiệu đã đăng ký	Tiếp thị
upsell	v	bán thêm	Tiếp thị
viral	adj	lan truyền nhanh	Tiếp thị
wholesale price	n	giá bán buôn	Tiếp thị
word-of-mouth	n	truyền miệng	Tiếp thị
arrival	n	sự đến nơi	Du lịch
boarding pass	n	thẻ lên máy bay	Du lịch
carrier	n	hãng vận chuyển	Du lịch
check-in	n	thủ tục nhận phòng/lên chuyến	Du lịch
customs declaration	n	khai báo hải quan	Du lịch
departure gate	n	cổng khởi hành	Du lịch
destination	n	điểm đến	Du lịch
direct flight	n	chuyến bay thẳng	Du lịch
embark	v	lên tàu; bắt đầu	Du lịch
excursion	n	chuyến tham quan ngắn	Du lịch
fare	n	giá vé	Du lịch
freight	n	hàng hóa vận chuyển	Du lịch
itinerary	n	lịch trình	Du lịch
layover	n	điểm dừng nối chuyến	Du lịch
lodge	v	đăng ký lưu trú	Du lịch
lost property	n	đồ thất lạc	Du lịch
passenger	n	hành khách	Du lịch
platform	n	sân ga	Du lịch
porter	n	nhân viên khuân hành lý	Du lịch
railway	n	đường sắt	Du lịch
reservation number	n	mã đặt chỗ	Du lịch
route	n	tuyến đường	Du lịch
shuttle	n	xe đưa đón	Du lịch
terminal	n	nhà ga; nhà ga sân bay	Du lịch
transit	n	quá cảnh	Du lịch
travel insurance	n	bảo hiểm du lịch	Du lịch
vacant	adj	còn trống	Du lịch
vehicle	n	phương tiện	Du lịch
visa application	n	đơn xin thị thực	Du lịch
warehouse receipt	n	biên nhận kho	Du lịch
assembly line	n	dây chuyền lắp ráp	Sản xuất
batch	n	lô hàng; mẻ sản xuất	Sản xuất
capacity	n	công suất	Sản xuất
component	n	linh kiện	Sản xuất
consignment	n	lô hàng gửi	Sản xuất
defect	n	khiếm khuyết	Sản xuất
distribution center	n	trung tâm phân phối	Sản xuất
durable	adj	bền	Sản xuất
equipment	n	thiết bị	Sản xuất
facility	n	cơ sở vật chất	Sản xuất
inspection	n	kiểm tra	Sản xuất
inventory control	n	kiểm soát tồn kho	Sản xuất
maintenance schedule	n	lịch bảo trì	Sản xuất
manufacturer	n	nhà sản xuất	Sản xuất
output	n	sản lượng	Sản xuất
packaging	n	bao bì	Sản xuất
plant	n	nhà máy	Sản xuất
prototype	n	mẫu thử	Sản xuất
quality assurance	n	đảm bảo chất lượng	Sản xuất
recall	n	việc thu hồi sản phẩm	Sản xuất
raw material	n	nguyên liệu thô	Sản xuất
specification	n	quy cách kỹ thuật	Sản xuất
stockroom	n	phòng/kho chứa hàng	Sản xuất
supplier	n	nhà cung cấp	Sản xuất
turnaround	n	thời gian hoàn thành	Sản xuất
unit cost	n	chi phí đơn vị	Sản xuất
vendor	n	nhà bán hàng	Sản xuất
workflow	n	quy trình công việc	Sản xuất
algorithm	n	thuật toán	Công nghệ
bandwidth	n	băng thông	Công nghệ
backup	n	bản sao lưu	Công nghệ
cloud computing	n	điện toán đám mây	Công nghệ
cybersecurity	n	an ninh mạng	Công nghệ
data breach	n	rò rỉ dữ liệu	Công nghệ
deployment	n	việc triển khai	Công nghệ
encryption	n	mã hóa	Công nghệ
firewall	n	tường lửa	Công nghệ
hardware	n	phần cứng	Công nghệ
interface	n	giao diện	Công nghệ
malware	n	phần mềm độc hại	Công nghệ
network outage	n	sự cố mạng	Công nghệ
operating system	n	hệ điều hành	Công nghệ
password reset	n	đặt lại mật khẩu	Công nghệ
phishing	n	lừa đảo giả mạo	Công nghệ
platform update	n	cập nhật nền tảng	Công nghệ
router	n	bộ định tuyến	Công nghệ
server maintenance	n	bảo trì máy chủ	Công nghệ
software license	n	giấy phép phần mềm	Công nghệ
