action plan	n	kế hoạch hành động	Kinh doanh
annual report	n	báo cáo thường niên	Tài chính
approval process	n	quy trình phê duyệt	Văn phòng
business proposal	n	đề xuất kinh doanh	Kinh doanh
cash flow	n	dòng tiền	Tài chính
client portfolio	n	danh mục khách hàng	Kinh doanh
competitive advantage	n	lợi thế cạnh tranh	Tiếp thị
contract renewal	n	gia hạn hợp đồng	Kinh doanh
cost estimate	n	ước tính chi phí	Tài chính
customer retention	n	giữ chân khách hàng	Dịch vụ khách hàng
data breach	n	sự cố rò rỉ dữ liệu	Công nghệ
decision-making	n	quá trình ra quyết định	Kinh doanh
direct deposit	n	chuyển khoản trực tiếp	Tài chính
distribution channel	n	kênh phân phối	Tiếp thị
employee handbook	n	sổ tay nhân viên	Nhân sự
end user	n	người dùng cuối	Công nghệ
executive summary	n	tóm tắt điều hành	Văn phòng
expense account	n	tài khoản chi phí	Tài chính
financial statement	n	báo cáo tài chính	Tài chính
fixed costs	n	chi phí cố định	Tài chính
growth strategy	n	chiến lược tăng trưởng	Kinh doanh
human resources	n	nguồn nhân lực	Nhân sự
key performance indicator	n	chỉ số hiệu suất chính	Kinh doanh
market research	n	nghiên cứu thị trường	Tiếp thị
monthly installment	n	khoản trả góp hàng tháng	Tài chính
operating expenses	n	chi phí vận hành	Tài chính
order confirmation	n	xác nhận đơn hàng	Dịch vụ khách hàng
payment gateway	n	cổng thanh toán	Công nghệ
performance bonus	n	thưởng theo hiệu suất	Nhân sự
project milestone	n	mốc dự án	Văn phòng
quality assurance	n	đảm bảo chất lượng	Sản xuất
research and development	n	nghiên cứu và phát triển	Công nghệ
return on investment	n	lợi nhuận trên vốn đầu tư	Tài chính
sales forecast	n	dự báo doanh số	Tiếp thị
security clearance	n	giấy phép an ninh	Công nghệ
service agreement	n	hợp đồng dịch vụ	Kinh doanh
shipping label	n	nhãn vận chuyển	Sản xuất
stakeholder meeting	n	cuộc họp các bên liên quan	Kinh doanh
strategic partnership	n	quan hệ đối tác chiến lược	Kinh doanh
tax return	n	tờ khai thuế	Tài chính
time management	n	quản lý thời gian	Nhân sự
training session	n	buổi đào tạo	Nhân sự
travel expenses	n	chi phí đi lại	Du lịch
user experience	n	trải nghiệm người dùng	Công nghệ
value proposition	n	đề xuất giá trị	Tiếp thị
working capital	n	vốn lưu động	Tài chính
workplace safety	n	an toàn nơi làm việc	Nhân sự
account for	v	giải thích; chiếm tỷ trọng	Tài chính
adhere to	v	tuân thủ	Kinh doanh
allocate resources	v	phân bổ nguồn lực	Kinh doanh
assess the risk	v	đánh giá rủi ro	Kinh doanh
authorize payment	v	cho phép thanh toán	Tài chính
boost productivity	v	tăng năng suất	Nhân sự
build rapport	v	xây dựng quan hệ tin cậy	Dịch vụ khách hàng
comply with	v	tuân thủ	Kinh doanh
conduct a survey	v	tiến hành khảo sát	Tiếp thị
confirm receipt	v	xác nhận đã nhận	Văn phòng
coordinate with	v	phối hợp với	Văn phòng
cut costs	v	cắt giảm chi phí	Tài chính
delegate tasks	v	giao nhiệm vụ	Nhân sự
disclose information	v	công bố thông tin	Kinh doanh
enhance efficiency	v	nâng cao hiệu quả	Kinh doanh
extend a deadline	v	gia hạn thời hạn	Văn phòng
file a complaint	v	gửi khiếu nại	Dịch vụ khách hàng
finalize a contract	v	hoàn tất hợp đồng	Kinh doanh
generate revenue	v	tạo doanh thu	Tài chính
issue a refund	v	hoàn tiền	Dịch vụ khách hàng
meet a requirement	v	đáp ứng yêu cầu	Kinh doanh
negotiate terms	v	đàm phán điều khoản	Kinh doanh
obtain approval	v	nhận phê duyệt	Văn phòng
process an order	v	xử lý đơn hàng	Dịch vụ khách hàng
reduce overhead	v	giảm chi phí chung	Tài chính
resolve a dispute	v	giải quyết tranh chấp	Dịch vụ khách hàng
schedule an appointment	v	đặt lịch hẹn	Văn phòng
submit a bid	v	nộp hồ sơ dự thầu	Kinh doanh
track inventory	v	theo dõi tồn kho	Sản xuất
update records	v	cập nhật hồ sơ	Văn phòng
withdraw an application	v	rút đơn đăng ký	Nhân sự
work overtime	v	làm thêm giờ	Nhân sự
