accounts payable	n	các khoản phải trả	Tài chính
accounts receivable	n	các khoản phải thu	Tài chính
balance sheet	n	bảng cân đối kế toán	Tài chính
break-even	adj	hòa vốn	Tài chính
cash register	n	máy tính tiền	Tài chính
compliance	n	sự tuân thủ	Kinh doanh
contingency plan	n	kế hoạch dự phòng	Kinh doanh
customs broker	n	đại lý khai thuê hải quan	Du lịch
delivery note	n	phiếu giao hàng	Sản xuất
dispatch	v	gửi đi; điều phối	Sản xuất
down payment	n	khoản trả trước	Tài chính
due diligence	n	thẩm định chuyên sâu	Kinh doanh
expense claim	n	đơn yêu cầu thanh toán chi phí	Tài chính
feasibility	n	tính khả thi	Kinh doanh
goodwill	n	uy tín thương mại	Tiếp thị
headquarters	n	trụ sở chính	Văn phòng
invoice number	n	số hóa đơn	Tài chính
keynote	n	bài phát biểu chính	Văn phòng
lease agreement	n	hợp đồng thuê	Kinh doanh
logistics provider	n	nhà cung cấp dịch vụ logistics	Sản xuất
market penetration	n	mức độ thâm nhập thị trường	Tiếp thị
memorandum of understanding	n	biên bản ghi nhớ	Kinh doanh
net income	n	lợi nhuận ròng	Tài chính
nonprofit	adj	phi lợi nhuận	Kinh doanh
opportunity cost	n	chi phí cơ hội	Tài chính
order fulfillment	n	quy trình hoàn tất đơn hàng	Sản xuất
payment terms	n	điều khoản thanh toán	Tài chính
point of sale	n	điểm bán hàng	Tiếp thị
purchase order	n	đơn đặt mua hàng	Sản xuất
quotation request	n	yêu cầu báo giá	Kinh doanh
revenue forecast	n	dự báo doanh thu	Tài chính
return policy	n	chính sách đổi trả	Dịch vụ khách hàng
risk assessment	n	đánh giá rủi ro	Kinh doanh
sales representative	n	nhân viên kinh doanh	Tiếp thị
stockholder	n	cổ đông	Tài chính
supply shortage	n	tình trạng thiếu nguồn cung	Sản xuất
tender submission	n	hồ sơ dự thầu	Kinh doanh
turnover rate	n	tỷ lệ nghỉ việc; vòng quay	Nhân sự
warehousing	n	việc lưu kho	Sản xuất
work permit	n	giấy phép lao động	Nhân sự
